name,description,type,date,time_start,time_end,size,room,course,coursecode,duration
EE M 1B System-on-chip-Design/HC01/01,191210750 System-on-chip-Design,PRA,2013-11-11,2013-11-11 08:45:00,2013-11-11 12:30:00,12,ZI W3,191210750,#SPLUS677708,225.0
EE M 1B System-on-chip-Design/HC01/01,191210750 System-on-chip-Design,PRA,2013-11-11,2013-11-11 08:45:00,2013-11-11 12:30:00,12,ZI W4,191210750,#SPLUS677708,225.0
EE M 1B System-on-chip-Design/HC05/01,191210750 System-on-chip-Design,PRA,2013-11-18,2013-11-18 08:45:00,2013-11-18 12:30:00,12,ZI W3,191210750,#SPLUS677708,225.0
EE M 1B System-on-chip-Design/HC05/01,191210750 System-on-chip-Design,PRA,2013-11-18,2013-11-18 08:45:00,2013-11-18 12:30:00,12,ZI W4,191210750,#SPLUS677708,225.0
