ASM,COL,DTOETS,HC,ONO,OVO,PJB,PJO,PRA,PRS,RES,RESP,TOETS,WC,WG,ZGB,ZMB,ZZA OVERIG,ZZTCP CURSUS
158.0,155.0,12.25,706.0,0,134.5,206.25,83.75,415.25,48.75,0.0,11.75,97.5,729.5,26.5,83.5,118.0,0,0.0
16.0,415.25,67.75,1385.25,0,209.5,798.25,202.75,1137.25,125.75,38.25,17.75,450.75,1351.75,55.25,149.25,93.75,0,0.0
38.25,292.75,34.25,1209.5,0,391.0,1186.25,393.0,732.5,157.5,34.5,0.0,383.25,898.25,25.75,387.75,43.25,0,0.0
16.25,230.75,4.75,604.75,363,402.75,761.75,168.0,721.75,94.75,52.25,0.0,312.75,588.25,22.75,235.0,53.5,13,22.0
17.5,27.75,0.0,97.5,290,337.5,51.0,80.5,156.75,80.75,8.5,0.0,151.0,70.0,2.5,7.0,7.5,0,7.5
