year,ASM,BOEK,COL,CQ,DTOETS,EXC,HC,ONO,OVO,PJB,PJO,PRA,PRS,RES,RESP,TOETS,WC,WG,ZGB,ZMB,ZZA CONGR,ZZA ORATIE,ZZA OVERIG,ZZTCP CURSUS
2013.0,806,0,1686,0,181,0,8250,0,1776,1738,558,3407,336,0,183,784,8071,311,910,1480,0,0,0,0
2014.0,63,8,3348,0,539,0,15699,0,2098,4670,1447,7473,744,354,272,3351,13059,285,1400,1042,0,14,28,0
2015.0,170,3,2358,2,281,0,13320,0,2847,12113,2369,5388,907,545,0,3388,8878,237,5130,763,38,0,5,0
2016.0,241,1,1842,0,118,17,7095,3313,3912,6378,1223,5676,657,577,0,2582,5680,203,2440,456,0,0,64,212
2017.0,32,0,250,0,26,2,1152,1119,1183,283,340,828,499,178,0,1213,740,55,47,104,0,0,4,117
