2013,2014,2015,2016,2017
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.03785011355034065,0.0,0.2035623409669211,0.0
28.803963198867656,29.182437547312638,27.368421052631582,25.34351145038168,45.98930481283423
29.86553432413305,30.3557910673732,30.925589836660617,28.24427480916031,47.05882352941176
35.17338995046001,37.62301286903861,33.793103448275865,32.264631043257,45.18716577540107
36.16418966737438,38.72066616199849,37.74954627949184,35.979643765903305,46.524064171122994
4.3170559094125975,7.910673732021197,8.747731397459166,14.910941475826972,33.42245989304813
29.440905874026896,39.59121877365632,35.49909255898366,40.71246819338422,53.20855614973262
27.883934890304317,37.73656320968963,32.994555353901994,38.47328244274809,52.94117647058824
43.595187544232125,47.691143073429224,47.80399274047187,51.24681933842239,57.21925133689839
24.416135881104033,28.387585162755492,27.54990925589837,29.05852417302799,42.513368983957214
22.4345364472753,24.791824375473126,23.012704174228677,25.29262086513995,36.096256684491976
0.14154281670205238,0.45420136260408783,0.21778584392014522,0.8651399491094147,1.3368983957219251
0.14154281670205238,0.45420136260408783,0.21778584392014522,0.4071246819338422,1.06951871657754
0.07077140835102619,0.11355034065102196,0.0,0.2544529262086514,1.06951871657754
0.07077140835102619,0.0757002271006813,0.0,0.05089058524173028,0.0
0.0,0.0,0.0,0.0,0.0
