"Cursus","Cursusnaam","Collegejaar","Medewerker"
"191100010","TRIZ - Fundamentals","2016","M7665471"
"191100020","TRIZ - Assignments","2016","M7665471"
"191100020","TRIZ - Assignments","2016","M7681343"
"191102010","Life-cycle Strategy","2016","M7665495"
"191102031","Product Design","2016","M7681343"
"191102031","Product Design","2016","M7683652"
"191102041","Manufacturing Facility Design","2016","M7643357"
"191102041","Manufacturing Facility Design","2016","M7681257"
"191102041","Manufacturing Facility Design","2016","M7683652"
"191121700","Composites Forming","2016","M7644079"
"191121700","Composites Forming","2016","M7698576"
"191121710","Composites","2016","M7643368"
"191121710","Composites","2016","M7644079"
"191121720","Design, Production and Materials","2016","M7641359"
"191121720","Design, Production and Materials","2016","M7643368"
"191121720","Design, Production and Materials","2016","M7644079"
"191121720","Design, Production and Materials","2016","M7649481"
"191121720","Design, Production and Materials","2016","M7698576"
"191121730","Production Technology - Capita Selecta","2016","M7643368"
"191121730","Production Technology - Capita Selecta","2016","M7644079"
"191121730","Production Technology - Capita Selecta","2016","M7649481"
"191121740","Rheology & Processing of Thermoplastics","2016","M7663332"
"191127500","Production Management - Capita Selecta","2016","M7643357"
"191127500","Production Management - Capita Selecta","2016","M7683652"
"191127520","Lean Six Sigma Green Belt","2016","M7643357"
"191131360","DPPM","2016","M7648665"
"191131360","DPPM","2016","M7693169"
"191131410","Mechanical Automation - Capita Selecta","2016","M7640870"
"191131410","Mechanical Automation - Capita Selecta","2016","M7642709"
"191131410","Mechanical Automation - Capita Selecta","2016","M7643001"
"191131410","Mechanical Automation - Capita Selecta","2016","M7648665"
"191131410","Mechanical Automation - Capita Selecta","2016","M7693169"
"191131700","System Identif. and Parameter Estimation","2016","M7642709"
"191131730","Dynamics of Machines","2016","M7642709"
"191137400","Laser Materials Processing","2016","M7643001"
"191141500","Thermal Engineering - Capita Selecta","2016","M7640283"
"191141500","Thermal Engineering - Capita Selecta","2016","M7641233"
"191141500","Thermal Engineering - Capita Selecta","2016","M7645325"
"191141500","Thermal Engineering - Capita Selecta","2016","M7646125"
"191141500","Thermal Engineering - Capita Selecta","2016","M7646288"
"191141500","Thermal Engineering - Capita Selecta","2016","M7681216"
"191141700","Transport Phenomena","2016","M7645325"
"191145500","LCA & Designing - Capita Selecta","2016","M7665495"
"191150700","Integrative Design of Biomedical Prod.","2016","M7641988"
"191150700","Integrative Design of Biomedical Prod.","2016","M7680998"
"191154340","Gasdynamics","2016","M7641084"
"191154340","Gasdynamics","2016","M7641227"
"191154720","Fluid Mechanics of Turbomachines 1","2016","M7641239"
"191154731","Computational Fluid Dynamics","2016","M7641227"
"191154731","Computational Fluid Dynamics","2016","M7688482"
"191154740","Biophysical Fluid Dyn.: The Resp. Syst.","2016","M7642708"
"191154750","Engineering Fluid Dynamics - C.S.","2016","M7641084"
"191154750","Engineering Fluid Dynamics - C.S.","2016","M7641227"
"191154750","Engineering Fluid Dynamics - C.S.","2016","M7688482"
"191154760","Fluid Mechanics of Turbomachines 2","2016","M7641239"
"191154770","Wave Motion","2016","M7646101"
"191155700","Solids and Surfaces","2016","M7641359"
"191155700","Solids and Surfaces","2016","M7643368"
"191155710","Surface Technology","2016","M7641359"
"191155720","Surface Technology and Tribology - C.S.","2016","M7640798"
"191155720","Surface Technology and Tribology - C.S.","2016","M7641359"
"191155720","Surface Technology and Tribology - C.S.","2016","M7685768"
"191155720","Surface Technology and Tribology - C.S.","2016","M7690064"
"191155720","Surface Technology and Tribology - C.S.","2016","M7694272"
"191155720","Surface Technology and Tribology - C.S.","2016","M7696106"
"191155730","Tribology","2016","M7640798"
"191157240","Applied Mechanics - Capita Selecta","2016","M7640853"
"191157240","Applied Mechanics - Capita Selecta","2016","M7642013"
"191157240","Applied Mechanics - Capita Selecta","2016","M7642142"
"191157240","Applied Mechanics - Capita Selecta","2016","M7642527"
"191157240","Applied Mechanics - Capita Selecta","2016","M7644079"
"191157240","Applied Mechanics - Capita Selecta","2016","M7646064"
"191157240","Applied Mechanics - Capita Selecta","2016","M7647119"
"191157240","Applied Mechanics - Capita Selecta","2016","M7647476"
"191157240","Applied Mechanics - Capita Selecta","2016","M7662020"
"191157240","Applied Mechanics - Capita Selecta","2016","M7681627"
"191157240","Applied Mechanics - Capita Selecta","2016","M7692548"
"191157240","Applied Mechanics - Capita Selecta","2016","M7698026"
"191157710","Numerical Methods in Mechanical Eng.","2016","M7647476"
"191157710","Numerical Methods in Mechanical Eng.","2016","M7662020"
"191157710","Numerical Methods in Mechanical Eng.","2016","M7681627"
"191157710","Numerical Methods in Mechanical Eng.","2016","M7688482"
"191157730","Computational Structural Optimization","2016","M7640853"
"191158510","Programming in Engineering","2016","M7642908"
"191158510","Programming in Engineering","2016","M7684381"
"191158510","Programming in Engineering","2016","M7687466"
"191158510","Programming in Engineering","2016","M7692168"
"191158510","Programming in Engineering","2016","M7692187"
"191158510","Programming in Engineering","2016","M7693257"
"191158520","Multi Scale Mechanics - Capita Selecta","2016","M7642908"
"191158520","Multi Scale Mechanics - Capita Selecta","2016","M7687466"
"191158520","Multi Scale Mechanics - Capita Selecta","2016","M7692168"
"191158520","Multi Scale Mechanics - Capita Selecta","2016","M7692187"
"191158520","Multi Scale Mechanics - Capita Selecta","2016","M7693257"
"191158523","Micro-Macro Methods - Capita Selecta","2016","M7642908"
"191158523","Micro-Macro Methods - Capita Selecta","2016","M7687466"
"191158523","Micro-Macro Methods - Capita Selecta","2016","M7692168"
"191158523","Micro-Macro Methods - Capita Selecta","2016","M7692187"
"191158523","Micro-Macro Methods - Capita Selecta","2016","M7693257"
"191199152","Internship","2016","M7640746"
"191199152","Internship","2016","M7640798"
"191199152","Internship","2016","M7641837"
"191199152","Internship","2016","M7641956"
"191199152","Internship","2016","M7642013"
"191199152","Internship","2016","M7642142"
"191199152","Internship","2016","M7642527"
"191199152","Internship","2016","M7642709"
"191199152","Internship","2016","M7643357"
"191199152","Internship","2016","M7643368"
"191199152","Internship","2016","M7643419"
"191199152","Internship","2016","M7645325"
"191199152","Internship","2016","M7646288"
"191199152","Internship","2016","M7665471"
