"Cursus","Cursusnaam","Collegejaar","Medewerker"
"193999010","Bachelor Assignment","2015","M7640524"
"193999010","Bachelor Assignment","2015","M7640787"
"193999010","Bachelor Assignment","2015","M7640831"
"193999010","Bachelor Assignment","2015","M7641058"
"193999010","Bachelor Assignment","2015","M7641078"
"193999010","Bachelor Assignment","2015","M7641084"
"193999010","Bachelor Assignment","2015","M7641107"
"193999010","Bachelor Assignment","2015","M7641211"
"193999010","Bachelor Assignment","2015","M7641333"
"193999010","Bachelor Assignment","2015","M7641345"
"193999010","Bachelor Assignment","2015","M7641837"
"193999010","Bachelor Assignment","2015","M7641944"
"193999010","Bachelor Assignment","2015","M7642086"
"193999010","Bachelor Assignment","2015","M7642088"
"193999010","Bachelor Assignment","2015","M7642681"
"193999010","Bachelor Assignment","2015","M7642707"
"193999010","Bachelor Assignment","2015","M7642709"
"193999010","Bachelor Assignment","2015","M7642908"
"193999010","Bachelor Assignment","2015","M7643039"
"193999010","Bachelor Assignment","2015","M7643291"
"193999010","Bachelor Assignment","2015","M7643294"
"193999010","Bachelor Assignment","2015","M7643368"
"193999010","Bachelor Assignment","2015","M7643419"
"193999010","Bachelor Assignment","2015","M7643472"
"193999010","Bachelor Assignment","2015","M7643983"
"193999010","Bachelor Assignment","2015","M7644387"
"193999010","Bachelor Assignment","2015","M7644398"
"193999010","Bachelor Assignment","2015","M7645325"
"193999010","Bachelor Assignment","2015","M7646183"
"193999010","Bachelor Assignment","2015","M7646268"
"193999010","Bachelor Assignment","2015","M7646288"
"193999010","Bachelor Assignment","2015","M7647083"
"193999010","Bachelor Assignment","2015","M7647239"
"193999010","Bachelor Assignment","2015","M7648048"
"193999010","Bachelor Assignment","2015","M7648397"
"193999010","Bachelor Assignment","2015","M7649262"
"193999010","Bachelor Assignment","2015","M7665046"
"193999010","Bachelor Assignment","2015","M7665471"
"193999010","Bachelor Assignment","2015","M7665509"
"193999010","Bachelor Assignment","2015","M7680998"
"193999010","Bachelor Assignment","2015","M7681343"
"193999010","Bachelor Assignment","2015","M7681614"
"193999010","Bachelor Assignment","2015","M7683058"
"193999010","Bachelor Assignment","2015","M7686723"
"193999010","Bachelor Assignment","2015","M7687008"
"193999010","Bachelor Assignment","2015","M7687235"
"193999010","Bachelor Assignment","2015","M7687929"
"193999010","Bachelor Assignment","2015","M7688585"
"193999010","Bachelor Assignment","2015","M7692397"
"193999010","Bachelor Assignment","2015","M7692766"
"193999010","Bachelor Assignment","2015","M7693169"
"193999010","Bachelor Assignment","2015","M7694973"
"193999010","Bachelor Assignment","2015","M7695354"
"193999010","Bachelor Assignment","2015","M7695361"
"193999010","Bachelor Assignment","2015","M7697513"
"193999010","Bachelor Assignment","2015","M7697772"
"193999028","Internship","2015","M7640201"
"193999030","Special Topic","2015","M7640201"
"193999030","Special Topic","2015","M7641774"
"193999030","Special Topic","2015","M7642086"
"193999030","Special Topic","2015","M7642411"
"193999030","Special Topic","2015","M7643419"
"193999030","Special Topic","2015","M7687008"
"201500274","Ontwerp en Mechanica","2015","M7641163"
"201500274","Ontwerp en Mechanica","2015","M7641244"
"201500274","Ontwerp en Mechanica","2015","M7641359"
"201500274","Ontwerp en Mechanica","2015","M7641586"
"201500274","Ontwerp en Mechanica","2015","M7642013"
"201500274","Ontwerp en Mechanica","2015","M7642186"
"201500274","Ontwerp en Mechanica","2015","M7642434"
"201500274","Ontwerp en Mechanica","2015","M7646125"
"201500274","Ontwerp en Mechanica","2015","M7647476"
"201500274","Ontwerp en Mechanica","2015","M7681343"
"201500274","Ontwerp en Mechanica","2015","M7692560"
"201500274","Ontwerp en Mechanica","2015","M7697367"
"201500275","Project","2015","M7686530"
"201500276","Thermodynamica","2015","M7640861"
"201500281","Spectroscopy","2015","M7646268"
"201500283","ADC plus 2015","2015","M7640432"
"201500283","ADC plus 2015","2015","M7641990"
"201500284","MDO vrije Bachelor","2015","M7644010"
"201500285","Signaalanalyse en bewerking","2015","M7642086"
"201500285","Signaalanalyse en bewerking","2015","M7643241"
"201500286","Systems and Control","2015","M7640834"
"201500286","Systems and Control","2015","M7647083"
"201500286","Systems and Control","2015","M7647139"
"201500286","Systems and Control","2015","M7687929"
"201500287","Consumentenproducten","2015","M7642490"
"201500287","Consumentenproducten","2015","M7660404"
"201500287","Consumentenproducten","2015","M7692618"
"201500289","Innovatie en Ondernemerschap: Theorie","2015","M7642268"
"201500289","Innovatie en Ondernemerschap: Theorie","2015","M7687008"
"201500291","Calculus A","2015","M7640367"
"201500291","Calculus A","2015","M7642065"
"201500291","Calculus A","2015","M7662428"
"201500292","Linear Algebra","2015","M7646898"
"201500292","Linear Algebra","2015","M7662428"
"201500293","Calculus B","2015","M7640367"
"201500293","Calculus B","2015","M7643724"
"201500296","Inleiding Wiskundig Modelleren","2015","M7643058"
"201500297","Assignm. Collaborative Des. & Eng. PDEng","2015","M7645316"
"201500297","Assignm. Collaborative Des. & Eng. PDEng","2015","M7646500"
"201500298","Assignm. Building Inf. Modeling 5D PDEng","2015","M7646500"
"201500299","Assignm. Integrated Water Manag. PDEng","2015","M7646500"
"201500300","Assignm. Data Analysis in WEM PDEng","2015","M7646500"
"201500301","Assignm. Mathematical Optimisation PDEng","2015","M7646500"
"201500302","Assignment Traffic Operations PDEng","2015","M7646500"
"201500303","Additional Assignm. PDEng Civil Eng. 1","2015","M7646500"
"201500303","Additional Assignm. PDEng Civil Eng. 1","2015","M7648086"
"201500304","Additional Assignm. PDENG Civil Eng. 2","2015","M7646500"
"201500305","Additional Assignm. PDENG Civil Eng. 3","2015","M7646500"
"201500306","Health Care Economics and Financing","2015","M7697004"
"201500307","Business Operations Management (BOM)","2015","M7640439"
"201500307","Business Operations Management (BOM)","2015","M7640445"
"201500307","Business Operations Management (BOM)","2015","M7640803"
"201500307","Business Operations Management (BOM)","2015","M7641004"
"201500307","Business Operations Management (BOM)","2015","M7683298"
"201500307","Business Operations Management (BOM)","2015","M7688100"
"201500307","Business Operations Management (BOM)","2015","M7699198"
"201500308","Project Dynamische Systemen - PB","2015","M7692548"
"201500309","Innovation & Entrepreneurship","2015","M7681595"
"201500309","Innovation & Entrepreneurship","2015","M7689037"
"201500310","Business Inn. through IT Project Man.","2015","M7641953"
"201500310","Business Inn. through IT Project Man.","2015","M7641985"
"201500310","Business Inn. through IT Project Man.","2015","M7643552"
"201500310","Business Inn. through IT Project Man.","2015","M7644135"
"201500310","Business Inn. through IT Project Man.","2015","M7681030"
"201500310","Business Inn. through IT Project Man.","2015","M7681336"
"201500310","Business Inn. through IT Project Man.","2015","M7682958"
"201500310","Business Inn. through IT Project Man.","2015","M7688749"
"201400357","Statistiek","2015","M7641100"
"201400358","Analyse II","2015","M7647415"
"201400359","Project (Statistiek en Analyse)","2015","M7641004"
"201400360","Presentatievaardigheden","2015","M7641013"
"201400365","Discrete Wiskunde","2015","M7641244"
"201400365","Discrete Wiskunde","2015","M7643058"
"201400367","Colloidchemie","2015","M7642907"
"201400368","Signalen en Systemen","2015","M7640367"
"201400368","Signalen en Systemen","2015","M7641774"
"201400370","Nanochemie","2015","M7642907"
"201400375","Transport Phen. in Biological Systems M6","2015","M7642708"
"201400375","Transport Phen. in Biological Systems M6","2015","M7644069"
"201400375","Transport Phen. in Biological Systems M6","2015","M7645967"
"201400375","Transport Phen. in Biological Systems M6","2015","M7646101"
"201400375","Transport Phen. in Biological Systems M6","2015","M7681127"
"201400375","Transport Phen. in Biological Systems M6","2015","M7686441"
"201400375","Transport Phen. in Biological Systems M6","2015","M7686530"
"201400376","Geo-Risk Engineering and Management - CS","2015","M7644078"
"201400377","Systeem Analyse - PB","2015","M7643001"
"201400380","Integrated Life Cycle Management","2015","M7660111"
"201400385","Introduction to Mathematical Analysis","2015","M7641013"
"201400385","Introduction to Mathematical Analysis","2015","M7641930"
"201400386","Research Topics Kerckhoffs","2015","M7640929"
"201400386","Research Topics Kerckhoffs","2015","M7646349"
"201400387","Transport in Turb. Chem. React. Flows","2015","M7640283"
"201400388","Discrete Wiskunde","2015","M7641244"
"201400389","Programmeren","2015","M7643058"
"201400394","Economic evaluation in health care","2015","M7697004"
"201400396","Sketching","2015","M7640869"
"201400396","Sketching","2015","M7692387"
"201400398","Numerieke Wiskunde","2015","M7643472"
"201400398","Numerieke Wiskunde","2015","M7686441"
"201400403","Design Sketching 1 - PB","2015","M7688863"
"201400403","Design Sketching 1 - PB","2015","M7692387"
"201400404","Fysieke Ergonomie - PB","2015","M7680146"
"201400405","Project Mens Product Relaties - PB","2015","M7648330"
"201400405","Project Mens Product Relaties - PB","2015","M7686618"
"201400406","Discovery - PB","2015","M7649248"
"201400407","Grafische Vormgeving - PB","2015","M7692618"
"201400408","Complex Networks","2015","M7648180"
"201400408","Complex Networks","2015","M7684697"
"201400408","Complex Networks","2015","M7697202"
"201400409","Project IDEE - PB","2015","M7681246"
"201400409","Project IDEE - PB","2015","M7687168"
"201400412","Design Methodology - PDEng","2015","M7640159"
"201400412","Design Methodology - PDEng","2015","M7643268"
"201400412","Design Methodology - PDEng","2015","M7683652"
"201400412","Design Methodology - PDEng","2015","M7696754"
"201400413","Project Consumentenproducten - PB","2015","M7641462"
"201400413","Project Consumentenproducten - PB","2015","M7684157"
"201400413","Project Consumentenproducten - PB","2015","M7696225"
"201400414","Thermodynamica - TN","2015","M7640861"
"201400414","Thermodynamica - TN","2015","M7640861"
"201400414","Thermodynamica - TN","2015","M7640905"
"201400414","Thermodynamica - TN","2015","M7641124"
"201400414","Thermodynamica - TN","2015","M7642065"
"201400414","Thermodynamica - TN","2015","M7642130"
"201400414","Thermodynamica - TN","2015","M7642490"
"201400414","Thermodynamica - TN","2015","M7646684"
"201400414","Thermodynamica - TN","2015","M7660620"
"201400414","Thermodynamica - TN","2015","M7680394"
"201400414","Thermodynamica - TN","2015","M7699178"
"195740040","Solar Energy","2015","M7648295"
"195740050","Technology and Sustainable Development","2015","M7686788"
"195740060","Hydrogen Technology","2015","M7641042"
"195740060","Hydrogen Technology","2015","M7641910"
"195740060","Hydrogen Technology","2015","M7642078"
"195740060","Hydrogen Technology","2015","M7644069"
"195740060","Hydrogen Technology","2015","M7644398"
"195740060","Hydrogen Technology","2015","M7645130"
"195740060","Hydrogen Technology","2015","M7665509"
"195740060","Hydrogen Technology","2015","M7681127"
"195740060","Hydrogen Technology","2015","M7692766"
"195740070","Energy Systems","2015","M7640283"
"195740070","Energy Systems","2015","M7646125"
"195740070","Energy Systems","2015","M7681216"
"191211208","Industrial/external Training","2015","M7640252"
"191211208","Industrial/external Training","2015","M7640721"
"191211208","Industrial/external Training","2015","M7640834"
"191211208","Industrial/external Training","2015","M7640977"
"191211208","Industrial/external Training","2015","M7641054"
"191211208","Industrial/external Training","2015","M7641078"
"191211208","Industrial/external Training","2015","M7641134"
"191211208","Industrial/external Training","2015","M7641944"
"191211208","Industrial/external Training","2015","M7642022"
"191211208","Industrial/external Training","2015","M7642085"
"191211208","Industrial/external Training","2015","M7642088"
"191211208","Industrial/external Training","2015","M7642159"
"191211208","Industrial/external Training","2015","M7642230"
"191211208","Industrial/external Training","2015","M7643291"
"191211208","Industrial/external Training","2015","M7643546"
"191211208","Industrial/external Training","2015","M7643977"
"191211208","Industrial/external Training","2015","M7646183"
"191211208","Industrial/external Training","2015","M7647119"
